ID,NOM,LATITUDE,LONGITUDE
8007817,"Berlin Ostbahnhof (DE)",52.5106,13.435
8014008,"Mannheim Hbf (DE)",49.47948,8.468935
8015190,"Herzogenrath",50.8709,6.0944
8015199,"Aix-la-Chapelle Ouest",50.78078,6.07055
8015345,"Aachen Hbf (DE)",50.76776,6.09139
8015458,"Köln Hbf (DE)",50.94308,6.95897
8015577,"Bonn-Beuel (DE)",50.7385,7.1276
8019022,"Koblenz Hbf (DE)",50.35084,7.588441
8019052,"Mainz Hbf (DE)",50.0013,8.2585
8065969,"BERLIN HBF (D)",52.5256,13.36951
8200100,"Luxembourg (LU)",49.6,6.133333
8200102,"Pfaffenthal-Kirchberg (LU)",49.61913,6.132853
8200110,"Mersch (LU)",49.74889,6.106111
8200120,"Ettelbruck (LU)",49.8475,6.104167
8200128,"Michelau (LU)",49.89729,6.09149
8200130,"Kautenbach (LU)",49.95278,6.02
8200132,"Wilwerwiltz (LU)",49.98889,5.999167
8200133,"Drauffelt (LU)",50.01778,6.006111
8200134,"Clervaux (LU)",50.05472,6.031389
8200136,"Troisvierges (LU)",50.12111,6.000278
8200510,"Bertrange Strassen (LU)",49.61111,6.05
8200516,"Mamer (LU)",49.62587,6.020131
8200518,"Capellen (LU)",49.645,5.990833
8200520,"Kleinbettingen (LU)",49.64639,5.916389
8200710,"Hollerich (LU)",49.59516,6.120938
8200712,"Leudelange (LU)",49.58712,6.059306
8200714,"Dippach-Reckange (LU)",49.57256,5.995267
8200716,"Schouweiler (LU)",49.57364,5.960076
8200718,"Bascharage-Sanem (LU)",49.55836,5.923742
8200930,"Pétange (LU)",49.55425,5.878681
8200935,"Lamadeleine (LU)",49.55334,5.861335
8200940,"Rodange (LU)",49.55128,5.845025
8210014,"Mamer-Lycée (LU)",49.6194,6.028495
8400058,"Amsterdam Cs (NL)",52.37908,4.900632
8400061,"Amsterdam Sud",52.33885,4.872372
8400080,"Almere Centre",52.37509,5.218138
8400081,"Almere Buiten",52.39428,5.278124
8400131,"Breda (NL)",51.59568,4.780017
8400180,"Dordrecht (NL)",51.8,4.666667
8400219,"Eijsden (NL)",50.77213,5.70979
8400234,"Eygelshoven markt",50.89607,6.057451
8400307,"Heerlen",50.89095,5.974577
8400394,"Lelystad Centre",52.50793,5.472872
8400424,"Maastricht (NL)",50.85,5.705392
8400426,"Maastricht Randwijck (NL)",50.83779,5.717626
8400434,"Meerssen",50.8826,5.750631
8400526,"Roosendaal (NL)",51.54083,4.458692
8400530,"Rotterdam CS (NL)",51.92485,4.469313
8400548,"Landgraaf",50.89651,6.019776
8400561,"Schiphol (NL)",52.30964,4.761985
8400632,"Valkenburg",50.86928,5.832888
8701687,"Creil - Bât Voyageurs",49.26434,2.469339
8727100,"Paris Nord (FR)",48.88011,2.354577
8728105,"Croix l'Allumette (FR)",50.68668,3.150797
8728600,"Lille Flandres (FR)",50.63333,3.066667
8728606,"Hellemmes (FR)",50.62694,3.108888
8728654,"Tourcoing (FR)",50.71656,3.168127
8728671,"Croix Wasquehal (FR)",50.66667,3.15
8728673,"Roubaix (FR)",50.69561,3.163526
8728683,"Pont de Bois (FR)",50.62416,3.1275
8728685,"Annappes (FR)",50.63333,3.15
8728686,"Ascq (FR)",50.61667,3.166667
8728687,"Baisieux (FR)",50.6,3.25
8728710,"Lezennes (FR)",50.61667,3.116667
8729500,"Maubeuge (FR)",50.27289,3.966566
8729560,"AULNOYE AYMERIES (F)",50.19744,3.843413
8729600,"Saint-Quentin",49.8397,3.297595
8800252,"Zwijndrecht-Dorp",51.2191653,4.3256707
8811007,"Schaerbeek",50.87851,4.37864
8811106,"Evere",50.86778,4.400963
8811130,"Haren-Sud",50.88969,4.415358
8811148,"Buda",50.9075,4.417075
8811155,"Haren",50.88888,4.41998
8811163,"Bordet",50.87779,4.410024
8811171,"Meiser",50.85407,4.394424
8811189,"Vilvorde",50.92458,4.432826
8811197,"Mérode",50.83928,4.398932
8811205,"Delta",50.81836,4.403871
8811213,"Diegem",50.89048,4.442773
8811221,"Zaventem",50.88572,4.46989
8811247,"Nossegem",50.88331,4.50611
8811254,"Kortenberg",50.89307,4.5433
8811262,"Erps-Kwerps",50.89651,4.585
8811270,"Veltem",50.90052,4.63352
8811288,"Herent",50.90353,4.67219
8811304,"Bruxelles-Luxembourg",50.83894,4.373676
8811403,"Germoir",50.83,4.379445
8811411,"Etterbeek",50.82219,4.389517
8811429,"Watermael",50.80917,4.399885
8811437,"Boitsfort",50.7947,4.408114
8811445,"Groenendaal",50.7661,4.44949
8811460,"Hoeilaart",50.76016,4.46741
8811510,"La Hulpe",50.73796,4.49706
8811528,"Genval",50.7257,4.514834
8811536,"Rixensart",50.71141,4.53286
8811544,"Profondsart",50.69965,4.545435
8811601,"Ottignies",50.67367,4.56936
8811635,"Limal",50.69214,4.5753
8811676,"Louvain-la-Neuve",50.6698,4.615746
8811718,"Bierges-Walibi",50.70777,4.59475
8811726,"Wavre",50.71627,4.60478
8811734,"Basse-Wavre",50.72442,4.621653
8811742,"Gastuche",50.73665,4.6496
8811759,"Archennes",50.75435,4.662441
8811767,"Florival",50.7615,4.65387
8811775,"Pécrot",50.77851,4.651483
8811817,"Céroux-Mousty",50.65994,4.569049
8811825,"Court-Saint-Etienne",50.64557,4.56582
8811916,"Bruxelles-Schuman",50.84328,4.380725
8811940,"Anderlecht",50.8179,4.2918
8812005,"Bruxelles-Nord",50.85966,4.36085
8812013,"Simonis",50.86364,4.328982
8812021,"Bockstael",50.87943,4.34851
8812047,"Jette",50.88083,4.326218
8812062,"Zellik",50.89003,4.274546
8812070,"Asse",50.90649,4.207988
8812112,"Mollem",50.93348,4.216967
8812120,"Merchtem",50.95495,4.222719
8812146,"Opwijk",50.97478,4.187317
8812153,"Heizijde",50.9896,4.156174
8812161,"Lebbeke",51.00501,4.134372
8812211,"Berchem-Sainte-Agathe",50.87263,4.289892
8812229,"Grand-Bigard",50.86834,4.273542
8812237,"Dilbeek",50.86673,4.24339
8812245,"Sint-Martens-Bodegem",50.86716,4.20508
8812252,"Ternat",50.87452,4.16534
8812260,"Essene Lombeek",50.88245,4.11517
8813003,"Bruxelles-Central",50.84565,4.356804
8813037,"Bruxelles-Chapelle",50.84113,4.34787
8813045,"Bruxelles-Congrès",50.85207,4.362051
8814001,"Bruxelles-Midi",50.83571,4.33653
8814118,"Forest-Est",50.8102,4.32094
8814126,"Uccle-Stalle",50.80241,4.3239
8814134,"Uccle-Calevoet",50.79175,4.332211
8814142,"Linkebeek",50.77369,4.339434
8814159,"Holleken",50.76763,4.353956
8814167,"Rhode-Saint-Genèse",50.74781,4.362001
8814175,"De Hoek",50.73881,4.370713
8814209,"Nivelles",50.59964,4.335065
8814241,"Lillois",50.64542,4.365369
8814258,"Braine-l'Alleud",50.68478,4.37553
8814266,"Waterloo",50.71542,4.383485
8814308,"Hal",50.73393,4.240633
