TRAJET_ID,ITINERAIRE_ID,ARRET_ID,HEURE_ARRIVEE,HEURE_DEPART
88____:007::8891702:8844628:40:743:20250314,658,8891702,,04:42:00
88____:007::8891702:8844628:40:743:20250314,658,8891009,04:56:00,04:58:00
88____:007::8891702:8844628:40:743:20250314,658,8892007,05:20:00,05:24:00
88____:007::8891702:8844628:40:743:20250314,658,8814001,05:52:00,05:56:00
88____:007::8891702:8844628:40:743:20250314,658,8813003,06:00:00,06:01:00
88____:007::8891702:8844628:40:743:20250314,658,8812005,06:05:00,06:08:00
88____:007::8891702:8844628:40:743:20250314,658,8833001,06:23:00,06:25:00
88____:007::8891702:8844628:40:743:20250314,658,8841004,07:00:00,07:03:00
88____:007::8891702:8844628:40:743:20250314,658,8844008,07:20:00,07:22:00
88____:007::8891702:8844628:40:743:20250314,658,8844503,07:34:00,07:36:00
88____:007::8891702:8844628:40:743:20250314,658,8844628,07:43:00,
88____:007::8891702:8844628:40:843:20250314,658,8891702,,05:35:00
88____:007::8891702:8844628:40:843:20250314,658,8891009,05:48:00,05:52:00
88____:007::8891702:8844628:40:843:20250314,658,8892007,06:15:00,06:24:00
88____:007::8891702:8844628:40:843:20250314,658,8814001,06:52:00,06:56:00
88____:007::8891702:8844628:40:843:20250314,658,8813003,07:00:00,07:01:00
88____:007::8891702:8844628:40:843:20250314,658,8812005,07:05:00,07:08:00
88____:007::8891702:8844628:40:843:20250314,658,8833001,07:23:00,07:27:00
88____:007::8891702:8844628:40:843:20250314,658,8841004,07:59:00,08:03:00
88____:007::8891702:8844628:40:843:20250314,658,8844008,08:20:00,08:22:00
88____:007::8891702:8844628:40:843:20250314,658,8844503,08:34:00,08:36:00
88____:007::8891702:8844628:40:843:20250314,658,8844628,08:43:00,
88____:007::8891702:8844628:40:943:20250314,658,8891702,,06:43:00
88____:007::8891702:8844628:40:943:20250314,658,8891009,06:56:00,06:59:00
88____:007::8891702:8844628:40:943:20250314,658,8892007,07:21:00,07:24:00
88____:007::8891702:8844628:40:943:20250314,658,8814001,07:52:00,07:56:00
88____:007::8891702:8844628:40:943:20250314,658,8813003,08:00:00,08:01:00
88____:007::8891702:8844628:40:943:20250314,658,8812005,08:05:00,08:08:00
88____:007::8891702:8844628:40:943:20250314,658,8833001,08:23:00,08:27:00
88____:007::8891702:8844628:40:943:20250314,658,8841004,08:59:00,09:03:00
88____:007::8891702:8844628:40:943:20250314,658,8844008,09:20:00,09:22:00
88____:007::8891702:8844628:40:943:20250314,658,8844503,09:34:00,09:36:00
88____:007::8891702:8844628:40:943:20250314,658,8844628,09:43:00,
88____:007::8891702:8844628:40:1043:20250314,658,8891702,,07:42:00
88____:007::8891702:8844628:40:1043:20250314,658,8891009,07:55:00,07:58:00
88____:007::8891702:8844628:40:1043:20250314,658,8892007,08:20:00,08:24:00
88____:007::8891702:8844628:40:1043:20250314,658,8814001,08:52:00,08:56:00
88____:007::8891702:8844628:40:1043:20250314,658,8813003,09:00:00,09:01:00
88____:007::8891702:8844628:40:1043:20250314,658,8812005,09:05:00,09:08:00
88____:007::8891702:8844628:40:1043:20250314,658,8833001,09:23:00,09:27:00
88____:007::8891702:8844628:40:1043:20250314,658,8841004,09:59:00,10:03:00
88____:007::8891702:8844628:40:1043:20250314,658,8844008,10:20:00,10:22:00
88____:007::8891702:8844628:40:1043:20250314,658,8844503,10:34:00,10:36:00
88____:007::8891702:8844628:40:1043:20250314,658,8844628,10:43:00,
88____:007::8891702:8844628:40:1143:20250314,658,8891702,,08:42:00
